SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_OrignalCode,VarID_Code,Count,OriginalCode_1,OriginalCode_2,OriginalCode_3,OriginalCode_4,OriginalCode_5,CodeDescription,DoubleCoding_notes,ShortName
182,V17,Intoned Vocal Segregates,"The frequency of vocal segregates with clear, musical pitch which occur as interjections.",Interjections,Ordinal,Lomax & Markel (1971-72); Wood (2021),Intoned vocal segregates are non-lexical utterances with a clear musical pitch used either as murmured or responsorial interjections (such as “Mm-hmm” in some instances). Some of these interjections may be the same ones already coded in V15 or V16. The difference in coding V17 is that only interjections with clear musical pitch are considered. ,17_NA,17_NA,26,NA,,,,,Missing data,,Missing data
183,,,,,,,,17_1,17_2,123,1,,,,,Intoned vocal segregates are infrequent.,,One
184,,,,,,,,17_2,17_4,19,2,,,,,Intoned vocal segregates are somewhat frequent.,,Two
185,,,,,,,,17_2_1,17_6,9,2,1,,,,The following two points are double coded: 1) Inrequent and 2) Somewhat frequent,,One and Two
186,,,,,,,,17_3,17_8,7,3,,,,,Intoned vocal segregates are very frequent.,,Three
187,,,,,,,,17_3_2,17_12,4,3,2,,,,The following two points are double coded: 1) Somewhat frequent and 2) Very frequent,,Two and Three
188,V18,Echo,The frequency with which one speaker repeats or echoes the speech of another.,Repetition,Ordinal,Lomax & Markel (1971-72); Wood (2021),,18_NA,18_NA,33,NA,,,,,Missing data,,Missing data
189,,,,,,,,18_1,18_2,53,1,,,,,Echo is infrequent.,,One
190,,,,,,,,18_2,18_4,66,2,,,,,Echo is somewhat frequent.,,Two
191,,,,,,,,18_2_1,18_6,5,2,1,,,,The following two points are double coded: 1) Inrequent and 2) Somewhat frequent,,One and Two
192,,,,,,,,18_3,18_8,28,3,,,,,Echo is very frequent.,,Three
193,,,,,,,,18_3_2,18_12,3,3,2,,,,The following two points are double coded: 1) Somewhat frequent and 2) Very frequent,,Two and Three
194,V19,Repeats,The frequency with which a speaker repeats his or her own utterances.,Repetition,Ordinal,Lomax & Markel (1971-72); Wood (2021),,19_NA,19_NA,10,NA,,,,,Missing data,,Missing data
195,,,,,,,,19_1,19_2,59,1,,,,,Repeats are infrequent.,,One
196,,,,,,,,19_2,19_4,70,2,,,,,Repeats are somewhat frequent.,,Two
197,,,,,,,,19_2_1,19_6,8,2,1,,,,The following two points are double coded: 1) Inrequent and 2) Somewhat frequent,,One and Two
198,,,,,,,,19_3,19_8,33,3,,,,,Repeats are very frequent.,,Three
199,,,,,,,,19_3_1,19_10,2,3,1,,,,The following two points are double coded: 1) Infrequent and 2) Very frequent,,One and Three
200,,,,,,,,19_3_2,19_12,6,3,2,,,,The following two points are double coded: 1) Somewhat frequent and 2) Very frequent,,Two and Three
201,V20,Inter-speaker Pauses,The presence and frequency of pauses between each speaker’s speech (i.e. during transitions between two speakers),Pauses,Ordinal,Lomax & Markel (1971-72); Wood (2021),,20_NA,20_NA,29,NA,,,,,Missing data,,Missing data
202,,,,,,,,20_1,20_2,26,1,,,,,"Pauses between speakers are not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
203,,,,,,,,20_2,20_4,46,2,,,,,"Pauses between speakers are infrequent, but noteworthy.",,Occasional
204,,,,,,,,20_2_1,20_6,6,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
205,,,,,,,,20_3,20_8,31,3,,,,,A moderate amount of clear pauses between speakers.,,Moderate
206,,,,,,,,20_3_2,20_12,6,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
207,,,,,,,,20_4,20_16,27,4,,,,,Pauses between speakers are frequent.,,Frequent
208,,,,,,,,20_4_3,20_24,7,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
209,,,,,,,,20_5,20_32,10,5,,,,,Pauses between speakers are very frequent and marked.,,Very frequent
210,V21,Intra-speaker Pauses,The presence and frequency of clear pauses within the speech of one speaker.,Pauses,Ordinal,Lomax & Markel (1971-72); Wood (2021),,21_NA,21_NA,1,NA,,,,,Missing data,,Missing data
211,,,,,,,,21_1,21_2,5,1,,,,,"Intra-speaker pauses are not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
212,,,,,,,,21_2,21_4,37,2,,,,,"Intra-speaker pauses are infrequent, but noteworthy.",,Occasional
213,,,,,,,,21_2_1,21_6,6,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
214,,,,,,,,21_3,21_8,54,3,,,,,A moderate amount of clear intra-speaker pauses.,,Moderate
215,,,,,,,,21_3_2,21_12,7,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
216,,,,,,,,21_4,21_16,32,4,,,,,Intra-speaker pauses are frequent.,,Frequent
217,,,,,,,,21_4_3,21_24,17,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
218,,,,,,,,21_5,21_32,21,5,,,,,Intra-speaker pauses are very frequent and marked.,,Very frequent
219,,,,,,,,21_5_3,21_40,1,5,3,,,,The following two points are double coded: 1) Very Frequent and 2) Moderate,,Very Frequent and Moderate
220,,,,,,,,21_5_4,21_48,7,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
221,V22,Vocal Stance,"The degree to which each speaker maintains a single vocal stance, or manner of speaking throughout a conversation, or whether aspects of his or her vocal stance (such as timbre, pitch, tempo, and volume, for example) change from moment to moment.",,Categorical,Lomax & Markel (1971-72); Wood (2021),,22_NA,22_NA,1,NA,,,,,Missing data,,Missing data
222,,,,,,,,22_1,22_2,59,1,,,,,One vocal stance predominates throughout.,,1 dominant vocal stance
223,,,,,,,,22_2,22_4,39,2,,,,,"One vocal stance is present throughout, but with considerable variation.",,1 w/ variation
224,,,,,,,,22_2_1,22_6,4,2,1,,,,"The following two points are double coded: 1) One vocal stance predominates throughout. and 2) One vocal stance is present throughout, but with considerable variation.",,1 dominant vocal stance and 1 w/ variation
225,,,,,,,,22_3,22_8,1,3,,,,,Each speaker alternates between two vocal stances.,,Alternation between 2 vocal stances
226,,,,,,,,22_4,22_16,59,4,,,,,Vocal stance is moderately changeful.,,Moderate changeful
227,,,,,,,,22_4_1,22_18,1,4,1,,,,The following two points are double coded: 1) One vocal stance predominates throughout. and 2) Vocal stance is moderately changeful.,,1 dominant vocal stance and Moderate changeful
228,,,,,,,,22_4_2,22_20,6,4,2,,,,"The following two points are double coded: 1) One vocal stance is present throughout, but with considerable variation. and 2) Vocal stance is moderately changeful.",,1 w/ variation and Moderate changeful
229,,,,,,,,22_4_3,22_24,1,4,3,,,,The following two points are double coded: 1) Each speaker alternates between two vocal stances. and 2) Vocal stance is moderately changeful.,,Alternation between 2 vocal stances and Moderate changeful
230,,,,,,,,22_5,22_32,11,5,,,,,Vocal stance is flexible and changeful.,,Flexible & changeful
231,,,,,,,,22_5_4,22_48,5,5,4,,,,The following two points are double coded: 1) Vocal stance is moderately changeful. and 2) Vocal stance is flexible and changeful.,,Moderate changeful and Flexible & changeful
232,,,,,,,,22_5_4_2,22_52,1,5,4,2,,,"The following three points are triple coded: 1) One vocal stance is present throughout, but with considerable variation. 2) Vocal stance is moderately changeful. 3) Vocal stance is flexible and changeful.",,1 w/ variation and Moderate changeful and Flexible & changeful
233,V23,Laughter,"The frequency of giggling, chuckling, snickering or laughing.",Affect,Ordinal,Lomax & Markel (1971-72); Wood (2021),,23_NA,23_NA,3,NA,,,,,Missing data,,Missing data
234,,,,,,,,23_1,23_2,111,1,,,,,Laughter is infrequent.,,One
235,,,,,,,,23_2,23_4,51,2,,,,,Laughter is somewhat frequent.,,Two
236,,,,,,,,23_2_1,23_6,13,2,1,,,,The following two points are double coded: 1) Inrequent and 2) Somewhat frequent,,One and Two
237,,,,,,,,23_3,23_8,8,3,,,,,Laughter is very frequent.,,Three
238,,,,,,,,23_3_2,23_12,2,3,2,,,,The following two points are double coded: 1) Somewhat frequent and 2) Very frequent,,Two and Three
239,V24,Humorous,The degree of humor and laughter-filled tone in the interaction.,Affect,Ordinal,Lomax & Markel (1971-72); Wood (2021),,24_NA,24_NA,9,NA,,,,,Missing data,,Missing data
240,,,,,,,,24_1,24_2,88,1,,,,,The conversation does not have a humorous tone.,,One
241,,,,,,,,24_2,24_4,24,2,,,,,The conversation has a slightly humorous tone.,,Two
242,,,,,,,,24_2_1,24_6,15,2,1,,,,The following two points are double coded: 1) Not humorous and 2) Slightly humorous,,One and Two
243,,,,,,,,24_3,24_8,20,3,,,,,The conversation has a moderately humorous tone.,,Three
244,,,,,,,,24_3_1,24_10,5,3,1,,,,The following two points are double coded: 1) Not humorous and 2) Moderately humorous,,One and Three
245,,,,,,,,24_3_2,24_12,7,3,2,,,,The following two points are double coded: 1) Slightly humorous and 2) Moderately humorous,,Two and Three
246,,,,,,,,24_4,24_16,12,4,,,,,The conversation has a humorous tone.,,Four
247,,,,,,,,24_4_3,24_24,3,4,3,,,,The following two points are double coded: 1) Moderately humorous and 2) Humorous,,Three and Four
248,,,,,,,,24_5,24_32,1,5,,,,,The conversation has a very humorous tone.,,Five
249,,,,,,,,24_5_3,24_40,2,5,3,,,,The following two points are double coded: 1) Moderately humorous and 2) Very Humorous,,Three and Five
250,,,,,,,,24_5_4,24_48,2,5,4,,,,The following two points are double coded: 1) Humorous and 2) Very Humorous,,Four and Five
251,V25,Tender,The degree of tenderness in the conversation.,Affect,Ordinal,Lomax & Markel (1971-72); Wood (2021),,25_NA,25_NA,10,NA,,,,,Missing data,,Missing data
252,,,,,,,,25_1,25_2,16,1,,,,,The conversation does not have a tender affect.,,One
253,,,,,,,,25_2,25_4,35,2,,,,,The conversation has a slightly tender affect.,,Two
254,,,,,,,,25_2_1,25_6,13,2,1,,,,The following two points are double coded: 1) Not tender and 2) Slightly tender,,One and Two
255,,,,,,,,25_3,25_8,45,3,,,,,The conversation has a moderately tender affect.,,Three
256,,,,,,,,25_3_1,25_10,9,3,1,,,,The following two points are double coded: 1) Not tender and 2) Moderately tender,,One and Three
257,,,,,,,,25_3_2,25_12,13,3,2,,,,The following two points are double coded: 1) Slightly tender and 2) Moderately tender,,Two and Three
258,,,,,,,,25_4,25_16,21,4,,,,,The conversation has a tender affect.,,Four
259,,,,,,,,25_4_2,25_20,2,4,2,,,,The following two points are double coded: 1) Slightly tender and 2) Tender,,Two and Four
260,,,,,,,,25_4_3,25_24,15,4,3,,,,The following two points are double coded: 1) Moderately tender and 2) Tender,,Three and Four
261,,,,,,,,25_5,25_32,1,5,,,,,The conversation has a very tender affect.,,Five
262,,,,,,,,25_5_2,25_36,1,5,2,,,,The following two points are double coded: 1) Slightly tender and 2) Very Tender,,Two and Five
263,,,,,,,,25_5_3,25_40,1,5,3,,,,The following two points are double coded: 1) Moderately tender and 2) Very tender,,Three and Five
264,,,,,,,,25_5_4,25_48,6,5,4,,,,The following two points are double coded: 1) Tender and 2) Very tender,,Four and Five
265,V26,Supportive,The degree to which the relationship between the speakers is supportive or cooperative.,Affect,Ordinal,Lomax & Markel (1971-72); Wood (2021),,26_NA,26_NA,38,NA,,,,,Missing data,,Missing data
266,,,,,,,,26_1,26_2,8,1,,,,,The relationship between the speakers is not supportive or cooperative.,,One
267,,,,,,,,26_2,26_4,34,2,,,,,The relationship between the speakers is slightly supportive or cooperative.,,Two
268,,,,,,,,26_2_1,26_6,4,2,1,,,,The following two points are double coded: 1) Not supportive or cooperative and 2) Slightly supportive or cooperative,,One and Two
269,,,,,,,,26_3,26_8,36,3,,,,,The relationship between the speakers is moderately supportive or cooperative.,,Three
270,,,,,,,,26_3_2,26_12,6,3,2,,,,The following two points are double coded: 1) Slightly supportive or cooperative and 2) Moderately supportive or cooperative,,Two and Three
271,,,,,,,,26_4,26_16,37,4,,,,,The relationship between the speakers is supportive or cooperative.,,Four
272,,,,,,,,26_4_2,26_20,1,4,2,,,,The following two points are double coded: 1) Slightly supportive or cooperative and 2) Supportive or cooperative,,Two and Four
273,,,,,,,,26_4_3,26_24,10,4,3,,,,The following two points are double coded: 1) Moderately supportive or cooperative and 2) Supportive or cooperative,,Three and Four
274,,,,,,,,26_5,26_32,3,5,,,,,The relationship between the speakers is very supportive or cooperative.,,Five
275,,,,,,,,26_5_3,26_40,1,5,3,,,,The following two points are double coded: 1) Moderately supportive or cooperative and 2) Very supportive or cooperative,,Three and Five
276,,,,,,,,26_5_4,26_48,10,5,4,,,,The following two points are double coded: 1) Supportive or cooperative and 2) Very supportive or cooperative,,Four and Five
277,V27,Excited,The level of tension and excitement in the interchange.,Affect,Ordinal,Lomax & Markel (1971-72); Wood (2021),,27_NA,27_NA,10,NA,,,,,Missing data,,Missing data
278,,,,,,,,27_1,27_2,38,1,,,,,The conversation does not have an excited or tense affect.,,One
279,,,,,,,,27_2,27_4,39,2,,,,,The conversation has a slightly excited or tense affect.,,Two
280,,,,,,,,27_2_1,27_6,14,2,1,,,,The following two points are double coded: 1) Not excited or tense and 2) Slightly excited or tense,,One and Two
281,,,,,,,,27_3,27_8,34,3,,,,,The conversation has a moderately excited or tense affect.,,Three
282,,,,,,,,27_3_1,27_10,2,3,1,,,,The following two points are double coded: 1) Not excited or tense and 2) Moderately excited or tense,,One and Three
283,,,,,,,,27_3_2,27_12,11,3,2,,,,The following two points are double coded: 1) Slightly excited or tense and 2) Moderately excited or tense,,Two and Three
284,,,,,,,,27_4,27_16,20,4,,,,,The conversation has an excited or tense affect.,,Four
285,,,,,,,,27_4_1,27_18,2,4,1,,,,The following two points are double coded: 1) Not excited or tense and 2) Excited or tense,,One and Four
286,,,,,,,,27_4_2,27_20,3,4,2,,,,The following two points are double coded: 1) Slightly excited or tense and 2) Excited or tense,,Two and Four
287,,,,,,,,27_4_3,27_24,8,4,3,,,,The following two points are double coded: 1) Moderately excited or tense and 2) Excited or tense,,Three and Four
288,,,,,,,,27_5,27_32,5,5,,,,,The conversation has a very excited or tense affect.,,Five
289,,,,,,,,27_5_2,27_36,1,5,2,,,,The following two points are double coded: 1) Slightly excited or tense and 2) Very excited or tense,,Two and Five
290,,,,,,,,27_5_4,27_48,1,5,4,,,,The following two points are double coded: 1) Excited or tense and 2) Very excited or tense,,Four and Five
291,V28,Competitive,The degree to which the interchange is competitive or aggressive.,Affect,Ordinal,Lomax & Markel (1971-72); Wood (2021),,28_NA,28_NA,38,NA,,,,,Missing data,,Missing data
292,,,,,,,,28_1,28_2,22,1,,,,,The relationship between the speakers is not competitive or aggressive.,,One
293,,,,,,,,28_2,28_4,27,2,,,,,The relationship between the speakers is slightly competitive or aggressive.,,Two
294,,,,,,,,28_2_1,28_6,6,2,1,,,,The following two points are double coded: 1) Not competitive or aggressive and 2) Slightly competitive or aggressive,,One and Two
295,,,,,,,,28_3,28_8,34,3,,,,,The relationship between the speakers is moderately competitive or aggressive.,,Three
296,,,,,,,,28_3_1,28_10,3,3,1,,,,The following two points are double coded: 1) Not competitive or aggressive and 2) Moderately competitive or aggressive,,One and Three
297,,,,,,,,28_3_2,28_12,14,3,2,,,,The following two points are double coded: 1) Slightly competitive or aggressive and 2) Moderately competitive or aggressive,,Two and Three
298,,,,,,,,28_4,28_16,24,4,,,,,The relationship between the speakers is competitive or aggressive.,,Four
299,,,,,,,,28_4_2,28_20,1,4,2,,,,The following two points are double coded: 1) Slightly competitive or aggressive and 2) Competitive or aggressive,,Two and Four
300,,,,,,,,28_4_3,28_24,8,4,3,,,,The following two points are double coded: 1) Moderately competitive or aggressive and 2) Competitive or aggressive,,Three and Four
301,,,,,,,,28_5,28_32,5,5,,,,,The relationship between the speakers is very competitive or aggressive.,,Five
302,,,,,,,,28_5_1,28_34,1,5,1,,,,The following two points are double coded: 1) Not competitive or aggressive and 2) Very competitive or aggressive,,One and Five
303,,,,,,,,28_5_4,28_48,5,5,4,,,,The following two points are double coded: 1) Competitive or aggressive and 2) Very competitive or aggressive,,Four and Five
304,V29,Rich and Resonant,The presence or absence of rich resonant vocalization.,Vocal Quality,Categorical,Lomax & Markel (1971-72); Wood (2021),,29_NA,29_NA,10,NA,,,,,Missing data,,Missing data
305,,,,,,,,29_1,29_2,108,1,,,,,Rich and resonant vocalization is not marked.,,Not marked
306,,,,,,,,29_2,29_4,54,2,,,,,There is marked rich and resonsant vocalization.,,Marked
307,,,,,,,,29_2_1,29_6,16,2,1,,,,Intermediate? Unclear how it can be both. Check,,
308,V30,Breathiness,"The presence or absence of clear-cut breathiness, including marked use of aspiration.",Vocal Quality,Categorical,Lomax & Markel (1971-72); Wood (2021),,30_NA,30_NA,10,NA,,,,,Missing data,,Missing data
309,,,,,,,,30_1,30_2,91,1,,,,,Breathiness is not marked.,,Not marked
310,,,,,,,,30_2,30_4,68,2,,,,,There is marked breathiness or aspiration.,,Marked
311,,,,,,,,30_2_1,30_6,19,2,1,,,,Intermediate? Unclear how it can be both. Check,,
312,V31,Harsh,"The frequency of harshness, hoarseness, fry, back consonants and/or other guttural, noisy and throaty sounds.",Vocal Quality,Ordinal,Lomax & Markel (1971-72); Wood (2021),,31_NA,31_NA,0,NA,,,,,Missing data,,Missing data
313,,,,,,,,31_1,31_2,3,1,,,,,"Harsh vocal sounds are not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
314,,,,,,,,31_2,31_4,15,2,,,,,"Harsh vocal sounds are infrequent, but noteworthy.",,Occasional
315,,,,,,,,31_2_1,31_6,2,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
316,,,,,,,,31_3,31_8,38,3,,,,,A moderate amount of clear harsh vocal sounds.,,Moderate
317,,,,,,,,31_3_1,31_10,1,3,1,,,,The following two points are double coded: 1) Little/none and 2) Moderate,,Little/none and Moderate
318,,,,,,,,31_3_2,31_12,17,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
319,,,,,,,,31_4,31_16,46,4,,,,,Harsh vocal sounds are frequent.,,Frequent
320,,,,,,,,31_4_2,31_20,6,4,2,,,,The following two points are double coded: 1) Frequent and 2) Occasional,,Frequent and Occasional
321,,,,,,,,31_4_3,31_24,26,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
322,,,,,,,,31_5,31_32,14,5,,,,,Harsh vocal sounds are very frequent and marked.,,Very frequent
323,,,,,,,,31_5_2,31_36,2,5,2,,,,The following two points are double coded: 1) Very Frequent and 2) Occasional,,Very Frequent and Occasional
324,,,,,,,,31_5_3,31_40,3,5,3,,,,The following two points are double coded: 1) Very Frequent and 2) Moderate,,Very Frequent and Moderate
325,,,,,,,,31_5_4,31_48,14,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
326,,,,,,,,31_5_4_3,31_56,1,5,4,3,,,"The following three points are triple coded: 1) Very frequent,  2) Frequent and 3) Moderate",,Very frequent and Frequent
327,V32,Nasal,The frequency of a nasal tone accompanying speech.,Vocal Quality,Ordinal,Lomax & Markel (1971-72); Wood (2021),,32_NA,32_NA,4,NA,,,,,Missing data,,Missing data
328,,,,,,,,32_1,32_2,2,1,,,,,"Nasal vocal tone is not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
329,,,,,,,,32_2,32_4,24,2,,,,,"Nasal vocal tone is infrequent, but noteworthy.",,Occasional
330,,,,,,,,32_2_1,32_6,2,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
331,,,,,,,,32_3,32_8,30,3,,,,,A moderate amount of clear nasal vocal tone.,,Moderate
332,,,,,,,,32_3_1,32_10,1,3,1,,,,The following two points are double coded: 1) Little/none and 2) Moderate,,Little/none and Moderate
333,,,,,,,,32_3_2,32_12,18,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
334,,,,,,,,32_4,32_16,61,4,,,,,Nasal vocal tone is frequent.,,Frequent
335,,,,,,,,32_4_2,32_20,5,4,2,,,,The following two points are double coded: 1) Frequent and 2) Occasional,,Frequent and Occasional
336,,,,,,,,32_4_3,32_24,12,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
337,,,,,,,,32_5,32_32,15,5,,,,,Nasal vocal tone is very frequent and marked.,,Very frequent
338,,,,,,,,32_5_3,32_40,4,5,3,,,,The following two points are double coded: 1) Very Frequent and 2) Moderate,,Very Frequent and Moderate
339,,,,,,,,32_5_4,32_48,10,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
340,V33,Hard,The absence or presence of a hard metallic quality in the voice.,Vocal Quality,Categorical,Lomax & Markel (1971-72); Wood (2021),,33_NA,33_NA,,NA,,,,,Missing data,,Missing data
341,,,,,,,,33_1,33_2,,1,,,,,A hard metallic vocal quality is not heard.,,Absence
342,,,,,,,,33_2,33_4,,2,,,,,There is a marked hard metallic vocal quality.,,Presence
343,V34,Gliding,The frequency of spekaers sliding or gliding from sound to sound.,Rhythm,Ordinal,Lomax & Markel (1971-72); Wood (2021),,34_NA,34_NA,0,NA,,,,,Missing data,,Missing data
344,,,,,,,,34_1,34_2,42,1,,,,,"Gliding is not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
345,,,,,,,,34_2,34_4,31,2,,,,,"Gliding is infrequent, but noteworthy.",,Occasional
346,,,,,,,,34_2_1,34_6,16,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
347,,,,,,,,34_3,34_8,25,3,,,,,A moderate amount of clear gliding.,,Moderate
348,,,,,,,,34_3_1,34_10,2,3,1,,,,The following two points are double coded: 1) Little/none and 2) Moderate,,Little/none and Moderate
349,,,,,,,,34_3_2,34_12,9,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
350,,,,,,,,34_4,34_16,33,4,,,,,Gliding is frequent.,,Frequent
351,,,,,,,,34_4_1,34_18,1,4,1,,,,The following two points are double coded: 1) Frequent and 2) Little/none,,Frequent and Little/none
352,,,,,,,,34_4_2,34_20,4,4,2,,,,The following two points are double coded: 1) Frequent and 2) Occasional,,Frequent and Occasional
353,,,,,,,,34_4_3,34_24,8,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
354,,,,,,,,34_5,34_32,12,5,,,,,Gliding is very frequent and marked.,,Very frequent
355,,,,,,,,34_5_1,34_34,1,5,1,,,,The following two points are double coded: 1) Very Frequent and 2) Little/none,,Very Frequent and Little/none
356,,,,,,,,34_5_3,34_40,1,5,3,,,,The following two points are double coded: 1) Very Frequent and 2) Moderate,,Very Frequent and Moderate
357,,,,,,,,34_5_4,34_48,3,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
358,V35,Marked Clear Syllabification,"The preponderance of short, distinct, evens-spaced syllables--like beads on a string.",Rhythm,Ordinal,Lomax & Markel (1971-72); Wood (2021),,35_NA,35_NA,1,NA,,,,,Missing data,,Missing data
359,,,,,,,,35_1,35_2,8,1,,,,,"Marked clear syllabification is not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
360,,,,,,,,35_2,35_4,31,2,,,,,"Marked clear syllabification is infrequent, but noteworthy.",,Occasional
361,,,,,,,,35_2_1,35_6,6,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
362,,,,,,,,35_3,35_8,34,3,,,,,A moderate amount of marked clear syllabification.,,Moderate
363,,,,,,,,35_3_1,35_10,1,3,1,,,,The following two points are double coded: 1) Little/none and 2) Moderate,,Little/none and Moderate
364,,,,,,,,35_3_2,35_12,18,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
365,,,,,,,,35_4,35_16,39,4,,,,,Marked clear syllabification is frequent.,,Frequent
366,,,,,,,,35_4_2,35_20,5,4,2,,,,The following two points are double coded: 1) Frequent and 2) Occasional,,Frequent and Occasional
367,,,,,,,,35_4_3,35_24,25,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
368,,,,,,,,35_5,35_32,11,5,,,,,Marked clear syllabification is very frequent and marked.,,Very frequent
369,,,,,,,,35_5_4,35_48,9,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
370,V36,Prolongations,"The frequency of drawled syllables, dwelling on sounds or prolonging sounds.",Rhythm,Ordinal,Lomax & Markel (1971-72); Wood (2021),,36_NA,36_NA,0,NA,,,,,Missing data,,Missing data
371,,,,,,,,36_1,36_2,33,1,,,,,"Prolongation is not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
372,,,,,,,,36_2,36_4,45,2,,,,,"Prolongation is infrequent, but noteworthy.",,Occasional
373,,,,,,,,36_2_1,36_6,25,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
374,,,,,,,,36_3,36_8,34,3,,,,,A moderate amount of prolongation.,,Moderate
375,,,,,,,,36_3_1,36_10,1,3,1,,,,The following two points are double coded: 1) Little/none and 2) Moderate,,Little/none and Moderate
376,,,,,,,,36_3_2,36_12,12,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
377,,,,,,,,36_4,36_16,16,4,,,,,Prolongation is frequent.,,Frequent
378,,,,,,,,36_4_2,36_20,1,4,2,,,,The following two points are double coded: 1) Frequent and 2) Occasional,,Frequent and Occasional
379,,,,,,,,36_4_3,36_24,9,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
380,,,,,,,,36_5,36_32,8,5,,,,,Prolongation is very frequent and marked.,,Very frequent
381,,,,,,,,36_5_3,36_40,2,5,3,,,,The following two points are double coded: 1) Very Frequent and 2) Moderate,,Very Frequent and Moderate
382,,,,,,,,36_5_4,36_48,2,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
383,V37,Stress Pattern,The pattern produced by the alternation of strong and weak stresses or accents.,Stress,Ordinal,Lomax & Markel (1971-72); Wood (2021),,37_NA,37_NA,6,NA,,,,,Missing data,,Missing data
384,,,,,,,,37_1,37_2,34,1,,,,,Stretches of speech in which there is apparently little difference between stressed and unstressed syllables.,,Rather even
385,,,,,,,,37_2,37_4,30,2,,,,,Speech in which more or less the same patterns of alternation between stressed and unstressed syllables occur.,,Regular patterns
386,,,,,,,,37_2_1,37_6,8,2,1,,,,The following two points are double coded: 1) Stretches of speech in which there is apparently little difference between stressed and unstressed syllables. and 2) Speech in which more or less the same patterns of alternation between stressed and unstressed syllables occur.,,Rather even and Regular patterns
387,,,,,,,,37_3,37_8,90,3,,,,,Unclear or varied use of stress.,,Varied
388,,,,,,,,37_3_1,37_10,4,3,1,,,,The following two points are double coded: 1) Stretches of speech in which there is apparently little difference between stressed and unstressed syllables. and 2) Unclear or varied use of stress.,,Rather even and Varied
389,,,,,,,,37_3_2,37_12,16,3,2,,,,The following two points are double coded: 1) Speech in which more or less the same patterns of alternation between stressed and unstressed syllables occur. and 2) Unclear or varied use of stress.,,Regular patterns and Varied
390,,,,,,,,37_4,37_16,0,4,,,,,Markedly varied use of stress.,,Marked use of variation
391,V38,Level of stress,The overall level of stress or accent in the conversation.,Stress,Categorical,Lomax & Markel (1971-72); Wood (2021),,38_NA,38_NA,1,NA,,,,,Missing data,,Missing data
392,,,,,,,,38_1,38_2,3,1,,,,,The conversation is predominantly lax-- low level of stress or accent.,,Predominantly lax
393,,,,,,,,38_2,38_4,28,2,,,,,The conversation has both lax (low) and moderate stress.,,Lax/moderate
394,,,,,,,,38_2_1,38_6,1,2,1,,,,The following two points are double coded: 1) The conversation is predominantly lax-- low level of stress or accent. and 2) The conversation has both lax (low) and moderate stress.,,Predominantly lax and Lax/moderate
395,,,,,,,,38_3,38_8,9,3,,,,,The conversation has both lax (low) and forceful stress.,,Lax/forc
